S,E,I,J,R,D
5.810439581545956025e+04,4.958729535768101414e+03,8.420267549338296931e+02,6.530977486581896301e+02,9.116098077214588784e+02,2.140337458330811682e+00
1.529227897166633920e+05,9.324336259493058606e+03,1.548854703643123230e+03,1.141803444516201580e+03,1.594698169009616777e+03,3.517706675015805029e+00
2.409233553076131502e+05,1.278864110164399062e+04,2.110603858994667917e+03,1.531341052095432815e+03,2.135458323096655931e+03,4.600356556609722425e+00
3.257201231833532220e+05,1.642762985757282513e+04,2.703916344587466483e+03,1.942612009184854742e+03,2.710961282038858371e+03,5.757323259045801223e+00
2.172962672846415080e+05,1.219486881608907424e+04,2.016389876482348882e+03,1.465595573275337983e+03,2.048446826067496204e+03,4.431623445568695807e+00
1.923036539081890951e+05,1.116738802474927434e+04,1.849671462379973264e+03,1.350199290037168794e+03,1.886980935842711233e+03,4.106378800752739089e+00
2.500774357721702545e+05,1.346597252550989106e+04,2.223178779940262757e+03,1.609644219056558313e+03,2.245946432247087614e+03,4.822271077592952260e+00
4.849494612501038937e+05,2.313982772049798223e+04,3.799392458381129018e+03,2.703199111749219810e+03,3.771238962414344314e+03,7.880496850975053036e+00
3.852620612075183308e+05,1.784848303358554040e+04,2.931316184735384013e+03,2.102238680661263970e+03,2.919744699668672183e+03,6.156193831461412636e+00
2.685294246178482426e+05,1.327052792253347070e+04,2.185933705170996745e+03,1.584689472093656150e+03,2.200705600686552771e+03,4.718681662283496614e+00
6.975135069820706267e+05,2.946218829885440573e+04,4.821808971867363653e+03,3.416245813551820447e+03,4.738469209184685496e+03,9.780724466538167405e+00
8.856112909991868073e+05,3.654075849777911208e+04,5.974329492072737594e+03,4.216708309361797546e+03,5.849911412473292330e+03,1.200128913115574036e+01
2.178646443383888691e+05,1.160148867739310481e+04,1.916214536716768862e+03,1.396960619113040138e+03,1.944479466980746338e+03,4.212361412404504790e+00
3.199298046381234890e+05,1.523112040679339043e+04,2.504891831282694966e+03,1.806283629332360761e+03,2.507568737199598672e+03,5.330757264421085218e+00
5.510012771541480906e+05,2.369945884832497177e+04,3.882235542419104604e+03,2.763576288065033168e+03,3.831483805059538099e+03,7.968361984930125708e+00
2.798444680644972250e+05,1.442104453398636178e+04,2.376850742349115080e+03,1.716249077468113228e+03,2.392274030344369748e+03,5.113551355645124197e+00
3.307461848131418228e+05,1.623708992398990631e+04,2.671777145862961788e+03,1.921671163009362772e+03,2.673607140468379384e+03,5.669813530875841501e+00
2.018491807764051191e+05,1.139843689768463082e+04,1.886351411102921929e+03,1.376059575717322332e+03,1.919803684560722786e+03,4.167654529987663281e+00
5.485895047135220375e+05,2.417528851097631195e+04,3.962276917990865513e+03,2.818674907799037101e+03,3.913116905038360528e+03,8.138044670893259891e+00
6.996240707010973711e+05,2.917100217141194662e+04,4.773155763717134505e+03,3.383082671398512502e+03,4.688015216385482745e+03,9.673475993354745839e+00
6.411377117601742502e+05,2.910618021969191614e+04,4.771561018160423373e+03,3.379406416766207258e+03,4.705401919857649773e+03,9.738665349477642508e+00
4.259858710257498315e+05,1.999405836107511277e+04,3.284458615458253462e+03,2.347960592968189758e+03,3.262809814694701799e+03,6.841590055058209607e+00
6.541786673161477083e+05,2.901775698007078608e+04,4.755578521112915951e+03,3.370069056752098732e+03,4.682251805117966796e+03,9.676320794781606338e+00
