Day,E_total,I_total,DeltaE,DeltaI
0,474265.1041730651,77332.9760417172,0.0,0.0
1,526998.9436892506,85785.6391341844,52733.839516185515,8452.663092467206
2,580341.8088327947,95167.66920820926,53342.86514354404,9382.030074024864
3,661979.2985929867,105682.30591533092,81637.489760192,10514.636707121652
4,749963.7940321444,117724.75131033766,87984.4954391577,12042.44539500674
5,821680.7912914758,131350.62519912652,71716.9972593314,13625.873888788861
6,914427.6901159594,146119.02538187514,92746.89882448362,14768.40018274862
7,1052399.4716166058,162956.53015788982,137971.78150064638,16837.504776014684
8,1144914.510720188,182140.5731546581,92515.03910358227,19184.042996768287
9,1252585.5070226402,202631.91398528192,107670.99630245217,20491.340830623813
10,1366423.1400418114,224744.21070142227,113837.63301917119,22112.29671614035
11,1474875.7220897188,248493.6856626399,108452.5820479074,23749.47496121764
12,1592412.2871306124,273639.2310710854,117536.56504089362,25145.54540844547
13,1713767.401270952,300311.3621963312,121355.11414033966,26672.131125245825
14,1833260.4297533748,328465.22365446965,119493.0284824227,28153.861458138446
15,1960024.989164532,357972.6345246328,126764.55941115716,29507.410870163178
16,2082621.95867143,388876.7942201453,122596.96950689796,30904.1596955125
17,2205196.075027371,420961.2515525009,122574.11635594093,32084.457332355552
18,2326678.8481096234,454122.904393533,121482.77308225259,33161.65284103213
19,2445650.341529451,488231.4753384576,118971.49341982743,34108.570944924606
